"","whale_easting","whale_northing","Event_ID","EvB_Wpt_Id","SwB_Wpt_ID","whale_depth_m","whale_dist_to_shore_m","Event_Date","DateTxt","Year","JulianDay","Julian_DateTxt","TimeTxt","CPA","ObType","ObOrder_CPA","ObOrder_Time","Ship","Observer","ObLocation","Approx","Count","IS_WW","WW_Speed","ship_azimuth","GPS_easting","GPS_northing","ship_speed","ship_bb_easting","ship_bb_northing","ship_bb_to_whale_azimuth","ship_bb_to_whale_dist","ship_bb_to_whale_bearing","Subarea1","Subarea2","Subarea3","ship_depth_m","ship_dist_to_shore_m","month","season","whale_direction","whale_orientation","whale_behavior","clouds","rain","wind","waves","visibility","sst_fn","sst","point_ocean_depth","ave_ocean_depth_250m_buff","chlor_fn","chlor_a","chlor_ann_fn","chlor_a_ann"
"1",459084.7177,6458504.742,"2014-06-04-S","2014-06-04-S-002","2014-06-04-S-002",-110,16310.56597,"6/4/2014",20140604,2014,155,2014155,"4:44:09","N","MultiOb",2,1,"Zuiderdam","Sara","Starboard","y",1,"n",20,292.0168147,464077.9195,6458764.955,12.74740926,464062.6106,6458767.909,266.9737451,4984.844544,-25.04306957,"East Icy","Outside","Outside",-128,13660.00271,6,1,"U-Unsure","U-Unsure","SA-Surface-active","95","none","light","1'","excellent","20140604.nc",283.098999,-103,-109.4285714,"2014_6.img",9.877140045,"2014.img",8.628390312
"2",449818.196,6462451.782,"2014-06-04-S","2014-06-04-S-004","2014-06-04-S-004",-70,9131.113799,"6/4/2014",20140604,2014,155,2014155,"5:16:23","Y","Single",1,1,"Zuiderdam","Sara","Starboard","y",1,"n",20,281.5528899,452785.6146,6462892.466,12.20271854,452770.0238,6462892.591,261.5065506,2984.560118,-20.04633926,"Lower Bay","Outside","Outside",-98,9564.716141,6,1,"A-Away","90-Perpendicular","DF-Dive-fluke-up","100","none","light","calm","excellent","20140604.nc",283.197998,-71,-72.125,"2014_6.img",25.49543953,"2014.img",4.5729599
"3",444631.9976,6469935.706,"2014-06-04-S","2014-06-04-S-006","2014-06-04-S-006",-70,2223.935504,"6/4/2014",20140604,2014,155,2014155,"5:41:33","N","MultiOb",3,1,"Zuiderdam","Sara","Starboard","y",1,"n",20,333.228917,444434.8605,6466441.295,12.01322094,444425.2905,6466453.603,3.397246441,3488.232722,30.16832947,"Lower Bay","Outside","Outside",-66,5183.572992,6,1,"WT-With/To","45-45-degrees","BL-Blowing","100","none","light","calm","excellent","20140604.nc",283.2789917,-53,-157.3333333,"2014_6.img",15.00510979,"2014.img",4.954160213
"4",439788.7056,6487391.236,"2014-06-04-S","2014-06-04-S-010","2014-06-04-S-010",-70,1097.587019,"6/4/2014",20140604,2014,155,2014155,"6:40:39","Y","Single",1,1,"Zuiderdam","Sara","Starboard","y",1,"n",0,358.7491823,438297.698,6487227.922,13.19826675,438294.3647,6487243.153,84.34071852,1501.66013,85.59153622,"Lower Bay","Lower Bay","Lower Bay",-97,2275.443964,6,1,"G-Against","0-Parallel","BL-Blowing","80","none","light","calm","excellent","20140604.nc",283.3640137,-59,-48.28571429,"2014_6.img",NA,"2014.img",1.925789952
"5",422310.0133,6515484.779,"2014-06-04-S","2014-06-04-S-016","2014-06-04-S-016",-415,1247.314184,"6/4/2014",20140604,2014,155,2014155,"13:43:13","Y","Single",1,1,"Zuiderdam","Sara","Starboard","y",1,"n",20,129.6998448,421826.5968,6515611.6,19.22672469,421840.2849,6515604.135,104.256855,484.6550712,-25.44298973,"Middle Bay","West Arm","West Arm",-367,1505.838851,6,1,"G-Against","0-Parallel","BL-Blowing","10","none","moderate","1'","excellent","20140604.nc",283.9079895,-331,-288.2857143,"2014_6.img",NA,"2014.img",NA
"6",438629.2498,6481483.288,"2014-06-04-S","2014-06-04-S-019","2014-06-04-S-019",-67,1155.620438,"6/4/2014",20140604,2014,155,2014155,"15:00:23","Y","Single",1,1,"Zuiderdam","Sara","Starboard","y",1,"n",13,159.7031748,438933.7999,6482643.901,12.29338782,438941.9209,6482630.592,195.2444225,1189.147007,35.54124774,"Lower Bay","Lower Bay","Lower Bay",-86,2086.346891,6,1,"A-Away","90-Perpendicular","BL-Blowing","10","none","moderate","1'","excellent","20140604.nc",283.3479919,-24,-49.66666667,"2014_6.img",NA,"2014.img",2.975790024
"7",441512.4414,6469606.678,"2014-06-04-S","2014-06-04-S-020","2014-06-04-S-020",-65,2860.673314,"6/4/2014",20140604,2014,155,2014155,"15:44:18","Y","Single",1,1,"Zuiderdam","Sara","Starboard","y",1,"n",20,205.4159216,441429.2315,6470099.477,11.7515502,441425.3746,6470084.371,169.6703529,485.562303,-35.74556867,"Lower Bay","Outside","Lower Bay",-66,2530.691859,6,1,"U-Unsure","U-Unsure","BL-Blowing","10","none","moderate","1'","excellent","20140604.nc",283.3120117,-67,-73.16666667,"2014_6.img",6.824019909,"2014.img",4.338170052
"8",425650.2529,6457465.735,"2014-06-04-S","2014-06-04-S-021","2014-06-04-S-021",-68,6895.355891,"6/4/2014",20140604,2014,155,2014155,"16:14:34","Y","Single",1,1,"Zuiderdam","Sara","Starboard","y",2,"n",20,247.7241895,428893.816,6462513.415,19.03154821,428880.795,6462504.839,212.6637107,5985.730829,-35.06047881,"West Icy","Outside","Outside",-187,2976.420923,6,1,"U-Unsure","U-Unsure","BL-Blowing","10","none","moderate","1'","excellent","20140604.nc",283.5979919,-91,-87.85714286,"2014_6.img",NA,"2014.img",1.657610059
"9",439047.7854,6488876.124,"2014-06-06-H","2014-06-06-H-002","2014-06-06-H-002",-87,2700,"6/6/2014",20140606,2014,157,2014157,"7:29:47","Y","Single",1,1,"Statendam","Heather","Starboard","n",1,"n",0,358.5350505,438266.5736,6488398.054,16.44401274,438265.2288,6488411.524,59.30260102,910.0813249,60.76755052,"Lower Bay","Middle Bay","Middle Bay",-98,2919.633401,6,1,"GT-Ag/To","45-45-degrees","DF-Dive-fluke-up","0","none","none","calm","excellent","20140606.nc",283.1489868,-72,-73.57142857,"2014_6.img",3.976020098,"2014.img",2.658879995
"10",409273.9271,6527740.217,"2014-06-06-H","2014-06-06-H-003","2014-06-06-H-003",-118,343,"6/6/2014",20140606,2014,157,2014157,"9:02:29","N","MultiOb",4,1,"Statendam","Heather","Starboard","y",1,"n",0,308.2528035,410426.5171,6523909.901,16.51016019,410415.2966,6523917.474,343.3757743,3989.497567,35.1229708,"West Arm","West Arm","West Arm",-420,1732.448098,6,1,"G-Against","0-Parallel","DN-Dive-no-fluke","0","none","none","calm","excellent","20140606.nc",284.0190125,5,-29.33333333,"2014_6.img",NA,"2014.img",NA
