"","unique_event_ID","same_whale_ID","ship","count","count_factor","ship_speed","distance","whale_behavior","visibility","waves","X_whale_UTM","Y_whale_UTM","ship_speed_scaled","grid_ID","ship_whale_dist_round","det_idx","det_prob","adjusted_count","adjusted_count_sum","count_sum"
"1","2008-05-06-N-005","2008-05-06-N-005","Veendam",1,"1",16.80260678,1357.990972,"BL-Blowing","excellent","calm",419124.7731,6517131.57,0.654526492224,10859,1360,"1_excellent_1360",0.325853015314772,3.06886833326985,11.2782975543329,5
"2","2008-05-08-N-006","2008-05-08-N-006","Norwegian Pearl",1,"1",16.07088876,3646.232984,"DF-Dive-fluke-up","excellent","calm",437821.7031,6490309.302,0.434731418579,9907,3650,"1_excellent_3650",0.0422267132019892,23.6816916158393,179.543294522612,20
"3","2008-05-08-N-008","2008-05-08-N-008","Norwegian Pearl",1,"1",18.12490146,354.5248521,"DF-Dive-fluke-up","excellent","1'",432495.0187,6503674.623,1.05172028632,10355,350,"1_excellent_350",0.999741151822453,1.00025891519727,57.8100127659581,4
"4","2008-05-08-N-028","2008-05-08-N-028","Norwegian Pearl",1,"1",15.0545887,1818.140645,"DF-Dive-fluke-up","excellent","calm",423059.4396,6513497.617,0.129452963726,10710,1820,"1_excellent_1820",0.18554481005689,5.38953366409649,75.8724833528424,7
"5","2008-05-08-N-029","2008-05-08-N-029","Norwegian Pearl",1,"1",18.09060802,1359.656176,"DF-Dive-fluke-up","excellent","calm",437304.0514,6497848.867,1.04141914713,10148,1360,"1_excellent_1360",0.325853015314772,3.06886833326985,155.268755140514,9
"6","2008-05-08-N-032","2008-05-08-N-032","Norwegian Pearl",1,"1",15.85772028,634.3565128,"DF-Dive-fluke-up","excellent","calm",438976.9773,6489222.044,0.370699400124,9874,630,"1_excellent_630",0.890544341760269,1.12290871224152,160.730721733217,20
"7","2008-05-11-N-002","2008-05-11-N-002","Ryndam",1,"1",15.26069018,175.2535522,"DF-Dive-fluke-up","excellent","calm",440976.1693,6479043.464,0.191362181125,9568,180,"1_excellent_180",1,1,16.0389785051164,10
"8","2008-05-11-N-011","2008-05-11-N-011","Ryndam",1,"1",17.08704409,1814.328201,"BL-Blowing","excellent","calm",438078.399,6492207.644,0.739966399115,9955,1810,"1_excellent_1810",0.187619012225061,5.32995024406395,310.853980729245,23
"9","2008-05-11-N-040","2008-05-11-N-040","Ryndam",1,"1",17.91447473,624.27711,"DF-Dive-fluke-up","excellent","calm",438706.3098,6490576.095,0.988511840781,9908,620,"1_excellent_620",0.899037394148786,1.1123007858275,208.622739305718,21
"10","2008-05-13-N-004","2008-05-13-N-004","Veendam",1,"1",17.3343273,634.9643161,"BL-Blowing","excellent","calm",439625.5784,6481046.909,0.814245875454,9635,630,"1_excellent_630",0.890544341760269,1.12290871224152,175.299797871624,32
