unique_event_ID,same_whale_ID,new_dist_shore_whale_m,nearest_X_land_UTM,nearest_Y_land_UTM
2013-09-26-N-004,2013-09-26-N-004,2022.383068,408545.0786,6523280.38
2013-09-26-N-015,2013-09-26-N-015,1214.597866,422977.1833,6516710.787
2008-07-02-K-131,2008-07-02-K-131,3376.338581,513922.6427,6327642.496
2008-07-16-K-119,2008-07-16-K-119,3342.193372,513367.0128,6329307.444
2008-07-02-K-130,2008-07-02-K-130,1080.76219,513267.0877,6329415.132
2008-06-15-K-087,2008-06-15-K-087,3621.935556,522221.8834,6336676.487
2008-07-13-K-120,2008-07-13-K-120,3941.138329,522152.2344,6337969.664
2008-08-06-K-104,2008-08-06-K-104,2370.627198,512241.8835,6335613.834
2008-06-18-K-082,2008-06-18-K-082,4500.820804,521679.0682,6340251.354
2008-08-06-K-103,2008-08-06-K-103,4087.052242,521644.1189,6340499.772
2008-07-13-K-116,2008-07-13-K-116,4427.053816,521643.7183,6340502.62
2008-06-11-K-070,2008-06-11-K-070,3588.805622,512077.1151,6351384.197
2008-08-06-K-098,2008-08-06-K-098,3057.887375,511248.4982,6350177.881
2010-07-25-K-101,2010-07-25-K-101,2948.150122,512231.5262,6351701.021
2008-08-06-K-092,2008-08-06-K-092,136.590128,510683.5998,6363168.861
2008-07-18-N-019,2008-07-18-N-019,628.512161,436394.1422,6482603.206
2007-08-08-K-002,2007-08-08-K-002,1396.678195,436151.1577,6485717.44
2009-09-20-K-043,2009-09-20-K-043,969.2621,437446.2059,6481212.992
2012-08-19-N-005,2012-08-19-N-005,377.360431,440137.328,6486338.956
2008-06-18-K-079,2008-06-18-K-079,3471.141321,510041.3933,6371118.135
2008-07-16-K-115,2008-07-16-K-115,3588.594053,510653.5211,6373174.723
2008-08-20-K-085,2008-08-20-K-085,3356.11763,510653.5211,6373174.723
2009-08-19-K-088,2009-08-19-K-088,259.441131,417673.5179,6459802.666
2009-05-11-K-027,2009-05-11-K-027,611.049278,417673.5179,6459802.666
2009-06-21-K-074,2009-06-21-K-074,2323.47493,436678.0905,6469201.247
