grid_ID,cell_length,cell_area,dist_shore_m,num_trks,trk_length_sum_m,trk_length_sum_km,stand_trk_length_m,X,adjusted_count_sum,count_sum,Y_centroid_UTM_lat,X_centroid_UTM_lon,sst_clim,chlor_clim,bath,bath_buff_500
3,1649.185256,18859.64711,4110.518579,0,0,0,0,3,0,0,6295424.312,524834.2851,7.591190815,5.775695801,-849,-845.5
4,2618.517728,101917.305,5077.269679,0,0,0,0,4,0,0,6295395.816,525802.0748,7.568737507,6.641794682,-822,-807.5
5,2762.791222,190284.8237,6178.75528,0,0,0,0,5,0,0,6295360.958,526985.9704,7.568737507,6.641794682,-718,-738
6,2907.064728,278652.3425,7322.598687,0,0,0,0,6,0,0,6295325.332,528195.9365,7.568737507,6.641794682,-630,-630
16,3605.970622,706732.2062,2535.768592,0,0,0,0,16,0,0,6295789.183,523276.3275,7.591190815,5.775695801,-804,-820.5
17,3701.728272,776240.1125,3751.375856,0,0,0,0,17,0,0,6295761.146,524491.7848,7.591190815,5.775695801,-849,-848.5
18,3726,781550,4973.130703,0,0,0,0,18,0,0,6295759.021,525713.5633,7.568737507,6.641794682,-822,-822
19,3726,781550,6198.104156,0,0,0,0,19,0,0,6295759.021,526938.5633,7.568737507,6.641794682,-758,-738
20,3726,781550,7421.768823,0,0,0,0,20,0,0,6295759.021,528163.5633,7.568737507,6.641794682,-630,-652
30,3726,781550,2593.694548,0,0,0,0,30,0,0,6296397.021,523263.5633,7.591190815,5.775695801,-822,-836.5
31,3726,781550,3795.947516,0,0,0,0,31,0,0,6296397.021,524488.5633,7.591190815,5.775695801,-844,-846.5
32,3726,781550,5009.234839,0,0,0,0,32,0,0,6296397.021,525713.5633,7.568737507,6.641794682,-809,-809
33,3726,781550,6227.110069,0,0,0,0,33,0,0,6296397.021,526938.5633,7.568737507,6.641794682,-739,-718
34,3726,781550,7447.322736,0,0,0,0,34,0,0,6296397.021,528163.5633,7.568737507,6.641794682,-605,-626.5
43,3726,781550,1707.785059,0,0,0,0,43,0,0,6297035.021,522038.5633,7.591190815,5.775695801,-670,-686
44,3726,781550,2810.938537,0,0,0,0,44,0,0,6297035.021,523263.5633,7.591190815,5.775695801,-822,-824
45,3726,781550,3947.620831,0,0,0,0,45,0,0,6297035.021,524488.5633,7.591190815,5.775695801,-844,-844
46,3726,781550,5125.12696,0,0,0,0,46,0,0,6297035.021,525713.5633,7.568737507,6.641794682,-809,-804
47,3726,781550,6320.711391,0,0,0,0,47,0,0,6297035.021,526938.5633,7.568737507,6.641794682,-739,-739
48,3726,781550,7525.762993,0,0,0,0,48,0,0,6297035.021,528163.5633,7.568737507,6.641794682,-605,-605
49,3726,781550,6406.832841,0,0,0,0,49,0,0,6297035.021,529388.5633,7.568737507,6.641794682,-488,-488
57,3726,781550,1812.654015,0,0,0,0,57,0,0,6297673.021,522038.5633,7.591190815,5.775695801,-702,-631
58,3726,781550,3034.839016,0,0,0,0,58,0,0,6297673.021,523263.5633,7.591190815,5.775695801,-826,-836.5
59,3726,781550,4191.485951,0,0,0,0,59,0,0,6297673.021,524488.5633,7.591190815,5.775695801,-836,-840
60,3726,781550,5315.59094,1,266.3043361,0.266304336,0.000340739,60,0,0,6297673.021,525713.5633,7.568737507,6.641794682,-799,-799
