"","grid_ID","cell_length","cell_area","dist_shore_m","num_trks","trk_length_sum_m","trk_length_sum_km","stand_trk_length_m"
"1",1,2042.18184433,28919.0081368,788.68482307,0,0,0,0
"2",2,1165.84224333,37107.8098584,222.503425365,0,0,0,0
"3",3,1649.18525624,18859.6471051,4110.51857931,0,0,0,0
"4",4,2618.51772836,101917.304999,5077.26967863,0,0,0,0
"5",5,2762.79122248,190284.823749,6178.75527998,0,0,0,0
"6",6,2907.06472836,278652.342499,7322.59868701,0,0,0,0
"7",7,3051.33822248,367019.861249,6721.09067404,0,0,0,0
"8",8,3195.61172836,455387.379998,5556.70739882,0,0,0,0
"9",9,3339.88532836,543754.959999,4404.99745369,0,0,0,0
"10",10,3484.15882248,632122.478749,3252.51413606,0,0,0,0
"11",11,3628.43232836,720489.997499,2099.49455007,0,0,0,0
"12",12,3712.62877815,779938.510444,951.95178433,0,0,0,0
"13",13,2086.72377457,248276.9025,189.48649297,0,0,0,0
"14",14,2456.16830571,328127.550955,329.764431347,0,0,0,0
"15",15,3461.69712836,618364.687498,1312.91891523,0,0,0,0
"16",16,3605.97062248,706732.206249,2535.76859198,0,0,0,0
"17",17,3701.72827212,776240.112488,3751.37585555,0,0,0,0
"18",18,3726,781550,4973.13070314,0,0,0,0
"19",19,3726,781550,6198.10415554,0,0,0,0
"20",20,3726,781550,7421.76882279,0,0,0,0
"21",21,3726,781550,6646.1165306,0,0,0,0
"22",22,3726,781550,5444.69240265,0,0,0,0
"23",23,3726,781550,4256.72829539,0,0,0,0
"24",24,3726,781550,3088.68757057,0,0,0,0
"25",25,3726,781550,1922.93669548,0,0,0,0
"26",26,3726,781550,757.185820389,0,0,0,0
"27",27,1674.76557457,116862.2367,96.3396123987,0,0,0,0
"28",28,3298.23306014,622612.747899,443.05542686,0,0,0,0
"29",29,3726,781550,1430.57166068,0,0,0,0
"30",30,3726,781550,2593.69454808,0,0,0,0
"31",31,3726,781550,3795.94751559,0,0,0,0
"32",32,3726,781550,5009.23483912,0,0,0,0
"33",33,3726,781550,6227.11006855,0,0,0,0
"34",34,3726,781550,7447.32273628,0,0,0,0
"35",35,3726,781550,6556.66512412,0,0,0,0
"36",36,3726,781550,5343.53419927,0,0,0,0
"37",37,3726,781550,4126.5503947,0,0,0,0
"38",38,3726,781550,2916.28677967,0,0,0,0
"39",39,3726,781550,1726.92015414,0,0,0,0
"40",40,3620.00500171,757041.248177,580.628688878,0,0,0,0
"41",41,589.503042144,9956.37594461,25.4340451918,0,0,0,0
"42",42,3614.6840353,757853.909776,600.86993472,0,0,0,0
"43",43,3726,781550,1707.78505888,0,0,0,0
"44",44,3726,781550,2810.93853734,0,0,0,0
"45",45,3726,781550,3947.62083084,0,0,0,0
"46",46,3726,781550,5125.12696003,0,0,0,0
"47",47,3726,781550,6320.71139104,0,0,0,0
"48",48,3726,781550,7525.76299263,0,0,0,0
"49",49,3726,781550,6406.83284077,0,0,0,0
"50",50,3726,781550,5208.71252772,0,0,0,0
"51",51,3726,781550,4026.79964031,0,0,0,0
"52",52,3726,781550,2868.36172066,0,0,0,0
"53",53,3726,781550,1644.70647284,0,0,0,0
"54",54,3481.04819568,677054.830689,507.83743559,0,0,0,0
"55",55,1203.32624957,57738.1656946,76.1166671757,0,0,0,0
"56",56,3703.96893322,775699.75886,606.817695228,0,0,0,0
"57",57,3726,781550,1812.65401511,0,0,0,0
"58",58,3726,781550,3034.83901585,0,0,0,0
"59",59,3726,781550,4191.48595071,0,0,0,0
"60",60,3726,781550,5315.59093981,1,266.304336124,0.266304336124,0.000340738706575395
"61",61,3726,781550,6476.10787216,0,0,0,0
"62",62,3726,781550,7535.28826607,0,0,0,0
"63",63,3726,781550,6318.16781586,0,0,0,0
"64",64,3726,781550,5099.25717101,0,0,0,0
"65",65,3726,781550,3884.17981598,0,0,0,0
"66",66,3726,781550,2678.1583205,0,0,0,0
"67",67,3726,781550,1503.15040381,0,0,0,0
"68",68,3346.25521078,677585.997507,500.34363485,0,0,0,0
"69",69,2887.1468577,367955.417809,168.892139429,0,0,0,0
"70",70,3726,781550,916.546601284,0,0,0,0
"71",71,3726,781550,1973.70233442,0,0,0,0
"72",72,3726,781550,3133.69337659,0,0,0,0
"73",73,3726,781550,4329.64403296,0,0,0,0
"74",74,3726,781550,5538.30756872,1,647.689363255,0.647689363255,0.000828724154890922
"75",75,3726,781550,6688.99408392,0,0,0,0
"76",76,3726,781550,7413.34672436,0,0,0,0
"77",77,3726,781550,6204.85505768,0,0,0,0
"78",78,3726,781550,5004.39735814,0,0,0,0
"79",79,3726,781550,3819.55619796,0,0,0,0
"80",80,3726,781550,2618.84659524,0,0,0,0
"81",81,3726,781550,1394.73532837,0,0,0,0
"82",82,3067.63249987,524867.997469,373.883962618,0,0,0,0
"83",83,3297.16073815,639315.590964,500.512366955,0,0,0,0
"84",84,3726,781550,1257.95898223,0,0,0,0
"85",85,3726,781550,2292.93983127,0,0,0,0
"86",86,3726,781550,3353.19377682,0,0,0,0
"87",87,3726,781550,4491.06799977,0,0,0,0
"88",88,3726,781550,5665.39716632,1,649.459216796,0.649459216796,0.00083098869783891
"89",89,3726,781550,6857.47827746,0,0,0,0
"90",90,3726,781550,7344.99408158,0,0,0,0
"91",91,3726,781550,6123.02659554,0,0,0,0
"92",92,3726,781550,4902.57292867,0,0,0,0
"93",93,3726,781550,3685.13744006,0,0,0,0
"94",94,3726,781550,2475.17768724,0,0,0,0
"95",95,3726,781550,1293.74586021,0,0,0,0
"96",96,2792.05320208,487781.932038,365.932854932,0,0,0,0
"97",97,3057.49559563,422745.275249,309.886371146,0,0,0,0
"98",98,3581.61587679,748199.950311,544.041221687,0,0,0,0
"99",99,3726,781550,1660.12731271,0,0,0,0
"100",100,3726,781550,2633.71287455,0,0,0,0
"101",101,3726,781550,3669.33306125,0,0,0,0
"102",102,3726,781550,4733.67236983,0,0,0,0
"103",103,3726,781550,5859.58081935,1,650.102558083,0.650102558083,0.00083181185859254
"104",104,3726,781550,7018.75848368,0,0,0,0
"105",105,3726,781550,7331.72929541,0,0,0,0
"106",106,3726,781550,6107.10824306,0,0,0,0
"107",107,3726,781550,4882.67731104,0,0,0,0
"108",108,3726,781550,3658.62738673,0,0,0,0
"109",109,3726,781550,2435.53299838,0,0,0,0
"110",110,3726,781550,1216.28023804,0,0,0,0
"111",111,2768.20245308,430817.780632,302.176415033,0,0,0,0
"112",112,94.8794633504,385.892250625,6.54518085384,0,0,0,0
"113",113,3443.74217967,283489.720057,0,0,0,0,0
"114",114,4059.07942229,658323.161604,113.256173877,0,0,0,0
"115",115,3726,781550,853.909224584,0,0,0,0
"116",116,3726,781550,1897.42896409,0,0,0,0
"117",117,3726,781550,3010.540809,0,0,0,0
"118",118,3726,781550,4010.10610453,0,0,0,0
"119",119,3726,781550,5045.72629123,0,0,0,0
"120",120,3726,781550,6114.46953586,1,651.084538444,0.651084538444,0.000833068310976905
"121",121,3726,781550,7232.91234418,0,0,0,0
"122",122,3726,781550,7373.84966378,0,0,0,0
"123",123,3726,781550,6157.61118416,0,0,0,0
"124",124,3726,781550,4945.69935666,0,0,0,0
"125",125,3726,781550,3742.31996998,0,0,0,0
"126",126,3726,781550,2559.53616677,0,0,0,0
"127",127,3726,781550,1420.36661661,0,0,0,0
"128",128,3175.12821982,589230.938955,429.870897131,0,0,0,0
"129",129,1666.87777332,142275.01427,160.232577974,0,0,0,0
"130",130,2188.38429305,212566.575099,154.022928359,0,0,0,0
"131",131,3530.50245018,723939.362209,399.301085986,0,0,0,0
"132",132,2782.32880101,213759.126537,48.2449771959,0,0,0,0
"133",133,3726,781550,893.132948841,0,0,0,0
